accuracy,loss,val_accuracy,val_loss,learning_rate
0.6266264319419861,0.9363276958465576,0.7036547660827637,0.6448039412498474,2.9999999242136255e-05
0.6707524061203003,0.7884581089019775,0.7269924879074097,0.5954951643943787,2.9999999242136255e-05
0.6918725371360779,0.7225515842437744,0.7749890089035034,0.49970683455467224,2.9999999242136255e-05
0.7129926681518555,0.6860186457633972,0.8110964298248291,0.4443974196910858,2.9999999242136255e-05
0.7161040902137756,0.6610358357429504,0.819462776184082,0.44505631923675537,2.9999999242136255e-05
0.7301527261734009,0.6345135569572449,0.7956846952438354,0.4747542440891266,2.9999999242136255e-05
0.748255729675293,0.5894536375999451,0.8304711580276489,0.3917786777019501,8.999999408842996e-06
0.7639071941375732,0.5566897988319397,0.8428005576133728,0.3821319341659546,8.999999408842996e-06
0.7626814842224121,0.5532534718513489,0.823425829410553,0.46870264410972595,8.999999408842996e-06
0.7637186646461487,0.5445056557655334,0.8723029494285583,0.3069365918636322,8.999999408842996e-06
